s,o,h,l,c,v,date,psar,PosDI,NegDI,ADX
,157.57,157.57,157.57,157.57,0.0,1998-05-21,162.1958245834454,14.227247982984121,85.77275201701589,76.47672243857613
,157.68,157.68,157.68,157.68,0.0,1998-05-24,161.21465966675632,18.029468601331068,81.97053139866895,73.96959051032847
,156.84,156.84,156.84,156.84,0.0,1998-05-25,160.42972773340506,12.668790440873906,87.33120955912611,74.10815623191323
,157.05,157.05,157.05,157.05,0.0,1998-05-26,159.71178218672404,20.09333525874325,79.90666474125678,71.24919088203328
,157.56,157.56,157.56,157.56,0.0,1998-05-27,159.13742574937922,36.48543477026343,63.51456522973658,62.40517879752125
,156.86,156.86,156.86,156.86,0.0,1998-05-28,158.6779405995034,26.987129102715894,73.01287089728412,59.12929139693065
,156.86,156.86,156.86,156.86,0.0,1998-06-01,158.3103524796027,26.987129102715894,73.01287089728412,56.50858147645816
,156.43,156.43,156.43,156.43,0.0,1998-06-02,158.01628198368215,21.59191961715293,78.40808038284707,56.57009733430535
,156.91,156.91,156.91,156.91,0.0,1998-06-03,157.6990255869457,38.693644620980635,61.30635537901937,49.77862001905203
,156.77,156.77,156.77,156.77,0.0,1998-06-04,157.44522046955657,35.84338192751753,64.15661807248247,45.48554324423461
,156.78,156.78,156.78,156.78,0.0,1998-06-07,157.24217637564527,36.262582330223935,63.73741766977605,41.883401663298116
,158.05,158.05,158.05,158.05,0.0,1998-06-08,156.43,68.71437885983524,31.28562114016477,40.992472874572584
,158.32,158.32,158.32,158.32,0.0,1998-06-09,156.4624,72.44298499046276,27.557015009537228,41.77117229584318
,159.56,159.56,159.56,159.56,0.0,1998-06-10,156.53670400000001,83.63771485612182,16.36228514387817,46.872023779123275
,160.16,160.16,160.16,160.16,0.0,1998-06-11,156.71810176000002,86.8650820970244,13.134917902975577,52.24365186210839
,159.95,159.95,159.95,159.95,0.0,1998-06-14,156.9934536192,79.96458796688395,20.035412033116035,53.7807566764403
,160.23,160.23,160.23,160.23,0.0,1998-06-15,157.246777329664,82.30710427914565,17.69289572085434,55.9474470528105
,160.38,160.38,160.38,160.38,0.0,1998-06-16,157.5450995966976,83.59176776561372,16.408232234386258,58.19466474849389
,161.13,161.13,161.13,161.13,0.0,1998-06-17,157.8852876450939,88.71360461521468,11.286395384785301,62.041173644881
,160.72,160.72,160.72,160.72,0.0,1998-06-18,158.33954737478075,73.11744830327254,26.882551696727436,58.87991823721383
,161.02,161.02,161.02,161.02,0.0,1998-06-21,158.73021074231144,76.84127462277358,23.158725377226393,57.8404444388805
,161.34,161.34,161.34,161.34,0.0,1998-06-22,159.06618123838783,80.4517581478172,19.548241852182777,58.45305881023129
,163.01,163.01,163.01,163.01,0.0,1998-06-23,159.42999224024578,90.30832939867771,9.691670601322276,62.88577880765613
,164.07,164.07,164.07,164.07,0.0,1998-06-24,160.07439363700155,93.07764037461581,6.922359625384175,67.53967919597123
,164.68,164.68,164.68,164.68,0.0,1998-06-25,160.87351490960123,94.25790059824106,5.742099401758933,71.73490359607341
,165.92,165.92,165.92,165.92,0.0,1998-06-28,161.63481192768097,95.99361469536312,4.006385304636859,75.78536875500399
,165.65,165.65,165.65,165.65,0.0,1998-06-29,162.49184954214476,88.69626888179582,11.303731118204174,76.10680255672153
,165.87,165.87,165.87,165.87,0.0,1998-06-30,163.17747963371582,89.50858588059705,10.491414119402933,76.68887639761604
,166.03,166.03,166.03,166.03,0.0,1998-07-01,163.72598370697264,90.15195618291754,9.848043817082441,77.41188359125985
,166.05,166.05,166.05,166.05,0.0,1998-07-02,164.1867869655781,90.24542257239189,9.754577427608108,78.02767590196463
