date,price
2023-10-03,1930.348618534896
2023-10-04,1929.4083855660058
2023-10-05,1974.8429412592798
2023-10-08,1974.5284106722006
2023-10-09,1973.1016038283383
2023-10-10,1974.0901934645196
2023-10-11,1973.1738841792994
2023-10-12,1973.235938343622
2023-10-16,1968.2805244841804
2023-10-17,1968.3801977064022
2023-10-18,1967.985616448572
2023-10-19,1967.4013956204312
2023-10-29,1969.0641818228407
2023-10-30,1968.1259027953265
2023-10-31,1967.9913258438128
2023-11-01,1968.70162462226
2023-11-02,1967.7319008049274
2023-11-05,1842.9257648350952
2023-11-06,1839.670587610736
2023-11-07,1841.36229611679
2023-11-08,1844.0855948950211
2023-11-09,1843.9820266647434
2023-11-20,1840.3513775309727
2023-11-21,1840.081243372737
2023-11-22,1839.1066527455798
